Year AD,Temperature (deg C anomaly wrt 1961-1990),2 sigma unc. low,2 sigma unc. high,,Bin Center (AD),Temperature (deg C anomaly wrt 1961-1990),,Bin Center (AD),Temperature (deg C anomaly wrt 1961-1990)
485,-0.63,-1.37,0.21,,,,,,
486,-0.32,-1.28,0.73,,,,,,
487,0.33,-0.70,1.33,,,,,,
488,-0.54,-1.57,0.88,,,,,,
489,-0.12,-0.95,0.87,,,,,,
490,0.36,-0.48,1.19,,,,,,
491,0.29,-0.69,1.24,,,,,,
492,-0.44,-1.45,0.74,,,,,,
493,0.19,-0.89,1.28,,,,,,
494,0.59,-0.52,1.70,,,,,,
495,-0.29,-1.39,1.06,,,,,,
496,0.57,-0.60,2.01,,,,,,
497,-0.02,-0.96,0.97,,,,,,
498,-0.32,-1.22,0.72,,,,,,
499,-0.32,-1.19,0.66,,,,,,
500,-0.46,-1.40,0.52,,,,,,
501,-0.65,-1.69,0.48,,,,,,
502,-0.43,-1.27,0.52,,,,,,
503,-0.27,-1.44,0.91,,,,,,
504,0.14,-0.98,1.32,,,,,,
505,-0.72,-1.75,0.63,,,,,,
506,-1.10,-1.86,-0.17,,,,,,
507,-0.59,-1.69,0.68,,,,,,
508,-0.63,-1.63,0.59,,,,,,
509,-1.01,-1.65,-0.36,,,,,,
510,-0.08,-1.16,1.31,,,,,,
511,-0.07,-1.25,1.29,,,,,,
512,-0.95,-1.95,0.43,,,,,,
513,0.24,-1.08,1.66,,,,,,
514,-0.41,-1.38,0.60,,,,,,
515,-0.20,-1.20,0.82,,,,,,
516,-0.23,-1.50,1.01,,,,,,
517,-0.87,-1.75,0.19,,,,,,
518,0.09,-0.87,1.15,,,,,,
519,0.19,-0.74,1.45,,,,,,
520,-0.26,-0.98,0.79,,,,,,
521,0.10,-0.71,1.03,,,,,,
522,-1.16,-2.25,0.21,,,,,,
523,-1.10,-1.95,-0.03,,,,,,
524,-0.10,-0.81,0.86,,,,,,
525,0.01,-0.81,0.84,,,,,,
526,-0.28,-1.19,0.96,,,,,,
527,-0.08,-1.05,1.09,,,,,,
528,-0.70,-1.58,0.33,,,,,,
529,-0.28,-0.92,0.49,,,,,,
530,-0.75,-1.84,0.31,,,,,,
531,-0.45,-1.43,0.70,,,,,,
532,-0.57,-1.61,0.74,,,,,,
533,-0.84,-1.82,0.34,,,,,,
534,-0.40,-1.44,0.90,,,,,,
535,-0.05,-1.13,1.11,,,,,,
536,-1.33,-2.67,0.22,,,,,,
537,-0.30,-1.60,1.30,,,,,,
538,-0.98,-2.17,0.44,,,,,,
539,-1.09,-2.20,0.25,,,,,,
540,-0.79,-1.85,0.41,,,,,,
541,-0.93,-2.18,0.53,,,,,,
542,-0.85,-1.88,0.51,,,,,,
543,-0.49,-1.72,1.04,,,,,,
544,-0.93,-2.03,0.50,,,,,,
545,-0.86,-1.82,0.35,,,,,,
546,-0.59,-1.74,0.85,,,,,,
547,-0.30,-1.44,1.15,,,,,,
548,0.63,-0.52,2.14,,,,,,
549,0.16,-0.91,1.41,,,,,,
550,0.23,-0.93,1.35,,,,,,
551,-0.45,-1.68,0.95,,,,,,
552,-0.28,-1.49,1.23,,,,,,
553,0.46,-0.69,1.89,,,,,,
554,-0.39,-1.36,0.70,,,,,,
555,0.18,-1.04,1.61,,,,,,
