Time (dec. yrs),Time (yr CE),Month,t2m (degC)
1995.542,1995,7,-10.951
1995.625,1995,8,-15.977
1995.708,1995,9,-23.040
1995.792,1995,10,-32.816
1995.875,1995,11,-26.049
1995.958,1995,12,-32.762
1996.042,1996,1,-33.399
1996.125,1996,2,-36.074
1996.208,1996,3,-29.887
1996.292,1996,4,-26.979
1996.375,1996,5,-20.148
1996.458,1996,6,-13.679
1996.542,1996,7,-12.327
1996.625,1996,8,-17.856
1996.708,1996,9,-23.195
1996.792,1996,10,-33.577
1996.875,1996,11,-34.699
1996.958,1996,12,-32.719
1997.042,1997,1,-33.524
1997.125,1997,2,-39.468
1997.208,1997,3,-39.388
1997.292,1997,4,-29.639
1997.375,1997,5,-19.172
1997.458,1997,6,-13.017
1997.542,1997,7,-12.545
1997.625,1997,8,-16.628
1997.708,1997,9,-25.538
1997.792,1997,10,-28.644
1997.875,1997,11,-34.376
1997.958,1997,12,-31.524
1998.042,1998,1,-34.334
1998.125,1998,2,-39.755
1998.208,1998,3,-38.206
1998.292,1998,4,-24.594
1998.375,1998,5,-16.123
1998.458,1998,6,-10.339
1998.542,1998,7,-11.182
1998.625,1998,8,-15.756
1998.708,1998,9,-23.794
1998.792,1998,10,-31.511
1998.875,1998,11,-33.961
1998.958,1998,12,-36.430
1999.042,1999,1,-35.419
1999.125,1999,2,-37.497
1999.208,1999,3,-37.111
1999.292,1999,4,-28.759
1999.375,1999,5,-18.953
1999.458,1999,6,-13.097
1999.542,1999,7,-11.417
1999.625,1999,8,-15.130
1999.708,1999,9,-22.355
1999.792,1999,10,-31.315
1999.875,1999,11,-34.695
1999.958,1999,12,-36.434
2000.042,2000,1,-35.388
2000.125,2000,2,-39.678
2000.208,2000,3,-40.850
2000.292,2000,4,-25.447
2000.375,2000,5,-22.471
2000.458,2000,6,-14.645
2000.542,2000,7,-11.069
2000.625,2000,8,-14.920
2000.708,2000,9,-21.256
2000.792,2000,10,-32.723
2000.875,2000,11,-31.100
2000.958,2000,12,-34.711
2001.042,2001,1,-37.860
2001.125,2001,2,-38.624
2001.208,2001,3,-35.436
2001.292,2001,4,-29.746
2001.375,2001,5,-20.896
2001.458,2001,6,-13.458
2001.542,2001,7,-10.120
2001.625,2001,8,-15.696
2001.708,2001,9,-23.384
2001.792,2001,10,-29.274
2001.875,2001,11,-34.407
2001.958,2001,12,-32.928
2002.042,2002,1,-38.263
2002.125,2002,2,-44.684
2002.208,2002,3,-40.125
2002.292,2002,4,-32.426
2002.375,2002,5,-18.900
2002.458,2002,6,-10.515
2002.542,2002,7,-9.409
2002.625,2002,8,-18.021
2002.708,2002,9,-19.571
2002.792,2002,10,-26.264
2002.875,2002,11,-29.388
2002.958,2002,12,-33.705
2003.042,2003,1,-35.999
2003.125,2003,2,-34.772
2003.208,2003,3,-32.115
2003.292,2003,4,-27.646
2003.375,2003,5,-20.240
2003.458,2003,6,-11.133
2003.542,2003,7,-11.364
2003.625,2003,8,-12.227
2003.708,2003,9,-22.237
2003.792,2003,10,-28.795
2003.875,2003,11,-34.713
2003.958,2003,12,-38.010
2004.042,2004,1,-40.899
2004.125,2004,2,-37.523
2004.208,2004,3,-32.949
2004.292,2004,4,-29.162
2004.375,2004,5,-20.135
2004.458,2004,6,-11.379
2004.542,2004,7,-10.375
2004.625,2004,8,-13.788
2004.708,2004,9,-20.360
2004.792,2004,10,-25.132
2004.875,2004,11,-34.369
2004.958,2004,12,-40.051
2005.042,2005,1,-36.894
2005.125,2005,2,-29.572
2005.208,2005,3,-29.169
2005.292,2005,4,-28.707
2005.375,2005,5,-18.949
2005.458,2005,6,-11.069
2005.542,2005,7,-8.538
2005.625,2005,8,-17.904
2005.708,2005,9,-26.023
2005.792,2005,10,-30.357
2005.875,2005,11,-31.400
2005.958,2005,12,-36.755
2006.042,2006,1,-38.252
2006.125,2006,2,-36.099
2006.208,2006,3,-37.826
2006.292,2006,4,-29.080
2006.375,2006,5,-17.958
2006.458,2006,6,-12.002
2006.542,2006,7,-10.646
2006.625,2006,8,-14.539
2006.708,2006,9,-23.210
2006.792,2006,10,-28.285
2006.875,2006,11,-38.392
2006.958,2006,12,-37.563
2007.042,2007,1,-36.336
2007.125,2007,2,-34.800
2007.208,2007,3,-35.926
2007.292,2007,4,-28.813
2007.375,2007,5,-20.217
2007.458,2007,6,-9.969
2007.542,2007,7,-11.505
2007.625,2007,8,-17.191
2007.708,2007,9,-26.734
2007.792,2007,10,-31.816
