Year,B18_12,B21_12,B23_12,B26_12,NGRIP_12,B16,B18,B21,B26,B29,NEEM
1486,,,,,,156,88,103,,108,
1485,,,,,,175,78,71,,85,
1484,,,,,,129,76,77,,119,
1483,,,,,,211,84,36,,126,
1482,,,,,,119,63,55,,149,
1481,,,,,,165,124,81,,136,
1480,,,,,,110,120,122,,151,
1479,,,,,,147,64,87,,99,
1478,,,,,,92,104,170,,124,
1477,,,,,,,112,70,,174,
1476,,,,,,,156,93,,,
1475,,,,,,,114,78,,,
1474,,,,,,,144,108,,,
1473,,,,,,,78,77,,,
1472,,,,,,,89,85,,,
1471,,,,,,,113,108,,,
1470,,,,,,,98,108,,,
1469,,,,,,,84,123,,,
1468,,,,,,,91,77,,,
1467,,,,,,,77,85,,,
1466,,,,,,,124,70,,,
1465,,,,,,,96,109,,,
1464,,,,,,,106,125,,,
1463,,,,,,,175,125,,,
1462,,,,,,,74,157,,,
1461,,,,,,,55,118,,,
1460,,,,,,,101,110,,,
1459,,,,,,,119,111,,,
1458,,,,,,,46,48,,,
1457,,,,,,,110,54,,,
1456,,,,,,,129,119,,,
1455,,,,,,,74,119,,,
1454,,,,,,,64,74,,,
1453,,,,,,,46,101,,,
1452,,,,,,,129,83,,,
1451,,,,,,,101,83,,,
1450,,,,,,,55,119,,,
1449,,,,,,,83,119,,,
1448,,,,,,,119,55,,,
1447,,,,,,,74,64,,,
1446,,,,,,,119,119,,,
1445,,,,,,,129,101,,,
1444,,,,,,,119,147,,,
1443,,,,,,,64,129,,,
1442,,,,,,,83,138,,,
1441,,,,,,,64,138,,,
1440,,,,,,,74,156,,,
1439,,,,,,,92,110,,,
1438,,,,,,,101,110,,,
1437,,,,,,,92,83,,,
1436,,,,,,,89,110,,,
1435,,,,,,,116,92,,,
1434,,,,,,,137,129,,,
1433,,,,,,,91,119,,,
1432,,,,,,,121,64,,,
1431,,,,,,,104,55,,,
1430,,,,,,,81,64,,,
1429,,,,,,,90,83,,,
1428,,,,,,,113,119,,,
1427,,,,,,,108,129,,,
1426,,,,,,,121,55,,,
1425,,,,,,,133,138,,,
1424,,,,,,,99,64,,,
1423,,,,,,,78,119,,,
1422,,,,,,,60,83,,,
1421,,,,,,,58,101,,,
1420,,,,,,,69,83,,,
1419,,,,,,,114,119,,,
1418,,,,,,,167,92,,,
1417,,,,,,,72,101,,,
1416,,,,,,,65,211,,,
1415,,,,,,,65,119,,,
1414,,,,,,,123,92,,,
1413,,,,,,,88,74,,,
1412,,,,,,,80,55,,,
1411,,,,,,,77,138,,,
1410,,,,,,,80,92,,,
1409,,,,,,,101,101,,,
1408,,,,,,,139,92,,,
1407,,,,,,,87,147,,,
1406,,,,,,,102,92,,,
1405,,,,,,,127,92,,,
1404,,,,,,,126,119,,,
1403,,,,,,,127,64,,,
1402,,,,,,,98,119,,,
1401,,,,,,,126,83,,,
1400,,,,,,,133,92,,,
1399,,,,,,,110,101,,,
1398,,,,,,,130,119,,,
1397,,,,,,,155,156,,,
1396,,,,,,,73,,,,
1395,,,,,,,120,,,,
1394,,,,,,,95,,,,
1393,,,,,,,81,,,,
1392,,,,,,,80,,,,
1391,,,,,,,96,,,,
1390,,,,,,,114,,,,
1389,,,,,,,92,,,,
1388,,,,,,,89,,,,
1387,,,,,,,80,,,,
1386,,,,,,,75,,,,
1385,,,,,,,73,,,,
