B21_2012 depth (m) center	B21_2012 d18O (permil)
15.96983962	-33.057503
15.98983962	-33.200249
16.00983962	-34.07225
16.02983962	-34.275501
16.04983962	-34.603748
16.06983962	-34.818748
16.08983962	-35.165749
16.10983962	-35.43325
16.12983962	-35.625248
16.14983962	-36
16.16983962	-36.177498
16.18983962	-36.5005
16.20983962	-36.838249
16.22983962	-37.045502
16.24983962	-37.334251
16.26983962	-37.371498
16.28983962	-37.621498
16.30983962	-37.659752
16.32983962	-37.959
16.34983962	-38.132999
16.36983962	-38.460751
16.38983962	-38.7425
16.40983962	-39.084251
16.42983962	-39.20475
16.44983962	-39.490501
16.46983962	-39.527748
16.48983962	-39.388252
16.50983962	-39.325249
16.52983962	-38.741753
16.54983962	-38.572998
16.56983962	-38.096249
16.58983962	-37.584999
16.60983962	-37.036499
16.62983962	-36.738503
16.64983962	-36.1605
16.66983962	-35.833252
16.68983962	-35.4585
16.70983962	-35.153999
16.72983962	-34.809998
16.74983962	-34.637749
16.76983962	-34.368999
16.78983962	-34.23875
16.80983962	-34.162498
16.82983962	-33.994999
16.84983962	-33.980499
16.86983962	-33.588249
16.88983962	-33.928001
16.90983962	-33.963249
16.92983962	-33.903
16.94983962	-33.966
16.96983962	-33.834747
16.98983962	-33.762501
17.00983962	-33.687
17.02983962	-33.485249
17.04983962	-33.500252
17.06983962	-33.271999
17.08983962	-33.08625
17.10983962	-33.008751
17.12983962	-32.729
17.14983962	-32.567253
17.16983962	-32.48275
17.18983962	-32.347752
17.20983962	-31.9895
17.22983962	-32.057251
17.24983962	-31.90675
17.26983962	-31.619251
17.28983962	-31.61475
17.30983962	-31.5445
17.32983962	-31.68075
17.34983962	-31.570499
17.36983962	-31.727749
17.38983962	-31.636499
17.40983962	-31.993
17.42983962	-32.114998
17.44983962	-32.504501
17.46983962	-32.917999
17.48983962	-33.2925
17.50983962	-33.855251
17.52983962	-34.439999
17.54983962	-34.905998
17.56983962	-35.570999
17.58983962	-36.023499
17.60983962	-36.443001
17.62983962	-36.577751
17.64983962	-37.1115
17.66983962	-37.389
17.68983962	-37.5005
17.70983962	-37.410332
17.72983962	-37.414001
17.74983962	-37.193748
17.76983962	-37.154999
17.78983962	-36.96875
17.80983962	-36.633751
17.82983962	-36.440002
17.84983962	-36.30175
17.86983962	-36.21825
17.88983962	-36.19075
17.90983962	-36.247749
17.92983962	-36.159248
17.94983962	-35.949501
17.96983962	-36.058998
17.98983962	-36.019501
18.00983962	-35.876251
18.02983962	-35.805
18.04983962	-35.638252
18.06983962	-35.383751
18.08983962	-35.218498
18.10983962	-34.874252
18.12983962	-34.51675
18.14983962	-34.106251
18.16983962	-33.727001
18.18983962	-33.312
18.20983962	-32.958752
18.22983962	-32.5895
18.24983962	-32.220501
18.26983962	-31.89975
18.28983962	-31.5875
18.30983962	-31.215
18.32983962	-30.9055
18.34983962	-30.731251
18.36983962	-30.5975
18.38983962	-28.917751
18.40983962	-31.5355
18.42983962	-31.534
18.44983962	-31.565001
18.46983962	-31.126751
18.48983962	-30.311501
18.50983962	-30.424751
18.52983962	-29.44175
18.54983962	-30.83
18.56983962	-31.114
18.58983962	-31.37875
18.60983962	-32.024002
18.62983962	-32.46875
18.64983962	-32.855999
18.66983962	-33.226997
18.68983962	-33.684502
18.70983962	-34.071251
18.72983962	-34.593498
18.74983962	-35.058998
18.76983962	-35.526249
18.78983962	-35.924
18.80983962	-36.298248
18.82983962	-36.540249
18.84983962	-36.61525
18.86983962	-36.681
18.88983962	-36.593002
18.90983962	-36.452751
18.92983962	-36.112503
18.94983962	-35.831001
18.96983962	-35.461502
18.98983962	-35.183998
19.00983962	-34.55175
19.02983962	-34.32225
19.04983962	-34.253502
19.06983962	-34.137501
19.08983962	-34.094002
19.10983962	-34.1315
19.12983962	-34.185501
19.14983962	-34.42025
19.16983962	-34.577248
19.18983962	-34.730499
19.20983962	-34.845501
19.22983962	-34.94125
19.24983962	-34.959999
19.26983962	-34.995499
19.28983962	-34.93325
19.30983962	-34.803749
19.32983962	-34.712002
19.34983962	-34.6325
19.36983962	-34.463753
19.38983962	-34.3405
19.40983962	-34.219501
19.42983962	-34.13625
19.44983962	-34.029503
19.46983962	-33.929249
19.48983962	-33.887501
19.50983962	-33.8685
19.52983962	-33.88625
19.54983962	-33.880249
19.56983962	-33.991501
19.58983962	-34.1255
19.60983962	-34.312248
19.62983962	-34.781998
19.64983962	-35.098999
19.66983962	-35.1115
19.68983962	-35.175751
19.70983962	-35.228249
19.72983962	-35.172501
19.74983962	-35.135998
19.76983962	-35.076
19.78983962	-34.94025
19.80983962	-34.766251
19.82983962	-34.59
19.84983962	-34.390751
19.86983962	-34.185501
19.88983962	-33.953751
19.90983962	-33.700001
19.92983962	-33.536499
19.94983962	-33.279751
19.96983962	-33.10775
19.98983962	-32.98175
20.00983962	-32.944252
20.02983962	-32.869251
20.04983962	-32.838753
20.06983962	-32.813
20.08983962	-32.71825
20.10983962	-32.736
20.12983962	-32.675499
20.14983962	-32.666748
20.16983962	-32.611252
20.18983962	-32.615002
20.20983962	-32.557999
20.22983962	-32.50375
20.24983962	-32.502998
20.26983962	-32.474251
20.28983962	-32.46875
20.30983962	-32.552002
20.32983962	-32.591751
20.34983962	-32.619751
20.36983962	-32.710751
20.38983962	-32.873497
20.40983962	-33.095001
20.42983962	-33.324501
20.44983962	-33.638752
20.46983962	-33.998001
20.48983962	-34.435501
20.50983962	-34.877998
20.52983962	-35.19725
20.54983962	-35.527748
20.56983962	-35.80225
20.58983962	-35.989502
20.60983962	-36.104752
20.62983962	-36.132252
20.64983962	-36.0905
20.66983962	-35.953499
20.68983962	-35.831749
20.70983962	-35.651249
20.72983962	-35.470749
20.74983962	-35.319748
20.76983962	-35.144749
20.78983962	-35.032501
20.80983962	-34.958748
20.82983962	-34.997498
20.84983962	-34.956249
20.86983962	-35.117752
20.88983962	-35.185249
20.90983962	-35.348251
20.92983962	-35.509499
20.94983962	-35.678001
20.96983962	-35.7215
20.98983962	-35.797501
21.00983962	-35.918751
21.02983962	-35.542999
21.04983962	-35.723747
21.06983962	-36.159
21.08983962	-36.078251
21.10983962	-35.939251
21.12983962	-35.782249
21.14983962	-35.540249
21.16983962	-35.28825
21.18983962	-34.86475
21.20983962	-34.335499
21.22983962	-34.790249
21.24983962	-34.67725
21.26983962	-34.517998
21.28983962	-34.543747
21.30983962	-34.363503
21.32983962	-34.590752
21.34983962	-34.51825
21.36983962	-34.737999
21.38983962	-34.970001
21.40983962	-35.077499
21.42983962	-34.635498
21.44983962	-35.240997
21.46983962	-35.598999
21.48983962	-35.675251
21.50983962	-35.782501
21.52983962	-35.643997
21.54983962	-35.720001
21.56983962	-35.668999
21.58983962	-35.64875
21.60983962	-35.681999
21.62983962	-35.438248
21.64983962	-35.565498
21.66983962	-35.368
21.68983962	-35.271
21.70983962	-35.192249
21.72983962	-35.056499
21.74983962	-34.942001
21.76983962	-34.963749
21.78983962	-34.758751
21.80983962	-34.745998
21.82983962	-34.384998
21.84983962	-34.488503
21.86983962	-34.496498
21.88983962	-34.347
21.90983962	-34.348499
21.92983962	-34.363499
21.94983962	-34.120998
21.96983962	-34.124748
21.98983962	-34.134003
22.00983962	-34.08725
22.02983962	-33.902748
22.04983962	-34.071499
22.06983962	-33.733002
22.08983962	-34.002251
22.10983962	-33.980751
22.12983962	-33.943501
22.14983962	-33.8195
22.16983962	-33.713001
22.18983962	-33.184502
22.20983962	-33.19775
22.22983962	-33.411251
22.24983962	-33.300751
22.26983962	-33.180748
22.28983962	-33.076748
22.30983962	-32.813499
22.32983962	-32.950249
22.34983962	-32.943748
22.36983962	-33.005749
22.38983962	-32.747749
22.40983962	-32.807999
22.42983962	-33.041
22.44983962	-32.848499
22.46983962	-32.717251
22.48983962	-32.96175
